name	type	source	detector	wavelength_nominal	units
M001S01-M011D00	NIRSCWHBR	M001S01	M011D00	0.0	uM
M001S01-M011D01	NIRSCWHBO	M001S01	M011D01	0.0	uM
M001S01-M011D01	NIRSCWHBR	M001S01	M011D01	0.0	uM
M001S02-M000D01	NIRSCWHBO	M001S02	M000D01	0.0	uM
M001S02-M000D01	NIRSCWHBR	M001S02	M000D01	0.0	uM
M001S02-M000D02	NIRSCWHBO	M001S02	M000D02	0.0	uM
M001S02-M000D02	NIRSCWHBR	M001S02	M000D02	0.0	uM
M001S02-M000D03	NIRSCWHBO	M001S02	M000D03	0.0	uM
M001S02-M000D03	NIRSCWHBR	M001S02	M000D03	0.0	uM
M001S02-M001D00	NIRSCWHBO	M001S02	M001D00	0.0	uM
M001S02-M001D00	NIRSCWHBR	M001S02	M001D00	0.0	uM
M001S02-M001D01	NIRSCWHBO	M001S02	M001D01	0.0	uM
M001S02-M001D01	NIRSCWHBR	M001S02	M001D01	0.0	uM
M001S02-M001D02	NIRSCWHBO	M001S02	M001D02	0.0	uM
M001S02-M001D02	NIRSCWHBR	M001S02	M001D02	0.0	uM
M001S02-M001D03	NIRSCWHBO	M001S02	M001D03	0.0	uM
M001S02-M001D03	NIRSCWHBR	M001S02	M001D03	0.0	uM
M001S02-M001D04	NIRSCWHBO	M001S02	M001D04	0.0	uM
M001S02-M001D04	NIRSCWHBR	M001S02	M001D04	0.0	uM
M001S02-M001D05	NIRSCWHBO	M001S02	M001D05	0.0	uM
M001S02-M001D05	NIRSCWHBR	M001S02	M001D05	0.0	uM
M001S02-M002D02	NIRSCWHBO	M001S02	M002D02	0.0	uM
M001S02-M002D02	NIRSCWHBR	M001S02	M002D02	0.0	uM
M001S02-M002D03	NIRSCWHBO	M001S02	M002D03	0.0	uM
M001S02-M002D03	NIRSCWHBR	M001S02	M002D03	0.0	uM
M001S02-M002D04	NIRSCWHBO	M001S02	M002D04	0.0	uM
M001S02-M002D04	NIRSCWHBR	M001S02	M002D04	0.0	uM
M001S02-M002D05	NIRSCWHBO	M001S02	M002D05	0.0	uM
M001S02-M002D05	NIRSCWHBR	M001S02	M002D05	0.0	uM
M001S02-M004D00	NIRSCWHBO	M001S02	M004D00	0.0	uM
M001S02-M004D00	NIRSCWHBR	M001S02	M004D00	0.0	uM
M001S02-M004D01	NIRSCWHBO	M001S02	M004D01	0.0	uM
M001S02-M004D01	NIRSCWHBR	M001S02	M004D01	0.0	uM
M001S02-M004D02	NIRSCWHBO	M001S02	M004D02	0.0	uM
M001S02-M004D02	NIRSCWHBR	M001S02	M004D02	0.0	uM
M001S02-M004D03	NIRSCWHBO	M001S02	M004D03	0.0	uM
M001S02-M004D03	NIRSCWHBR	M001S02	M004D03	0.0	uM
M001S02-M005D03	NIRSCWHBO	M001S02	M005D03	0.0	uM
M001S02-M005D03	NIRSCWHBR	M001S02	M005D03	0.0	uM
M002S00-M000D03	NIRSCWHBO	M002S00	M000D03	0.0	uM
M002S00-M000D03	NIRSCWHBR	M002S00	M000D03	0.0	uM
M002S00-M001D03	NIRSCWHBO	M002S00	M001D03	0.0	uM
M002S00-M001D03	NIRSCWHBR	M002S00	M001D03	0.0	uM
M002S00-M002D00	NIRSCWHBO	M002S00	M002D00	0.0	uM
M002S00-M002D00	NIRSCWHBR	M002S00	M002D00	0.0	uM
M002S00-M002D01	NIRSCWHBO	M002S00	M002D01	0.0	uM
M002S00-M002D01	NIRSCWHBR	M002S00	M002D01	0.0	uM
M002S00-M002D02	NIRSCWHBO	M002S00	M002D02	0.0	uM
M002S00-M002D02	NIRSCWHBR	M002S00	M002D02	0.0	uM
M002S00-M002D03	NIRSCWHBO	M002S00	M002D03	0.0	uM
M002S00-M002D03	NIRSCWHBR	M002S00	M002D03	0.0	uM
M002S00-M002D04	NIRSCWHBO	M002S00	M002D04	0.0	uM
M002S00-M002D04	NIRSCWHBR	M002S00	M002D04	0.0	uM
M002S00-M002D05	NIRSCWHBO	M002S00	M002D05	0.0	uM
M002S00-M002D05	NIRSCWHBR	M002S00	M002D05	0.0	uM
M002S00-M004D00	NIRSCWHBO	M002S00	M004D00	0.0	uM
M002S00-M004D00	NIRSCWHBR	M002S00	M004D00	0.0	uM
M002S00-M004D01	NIRSCWHBO	M002S00	M004D01	0.0	uM
M002S00-M004D01	NIRSCWHBR	M002S00	M004D01	0.0	uM
M002S00-M004D02	NIRSCWHBO	M002S00	M004D02	0.0	uM
M002S00-M004D02	NIRSCWHBR	M002S00	M004D02	0.0	uM
M002S00-M004D05	NIRSCWHBO	M002S00	M004D05	0.0	uM
M002S00-M004D05	NIRSCWHBR	M002S00	M004D05	0.0	uM
M002S00-M006D00	NIRSCWHBO	M002S00	M006D00	0.0	uM
M002S00-M006D00	NIRSCWHBR	M002S00	M006D00	0.0	uM
M002S00-M006D01	NIRSCWHBO	M002S00	M006D01	0.0	uM
M002S00-M006D01	NIRSCWHBR	M002S00	M006D01	0.0	uM
M002S00-M006D02	NIRSCWHBO	M002S00	M006D02	0.0	uM
M002S00-M006D02	NIRSCWHBR	M002S00	M006D02	0.0	uM
M002S00-M006D03	NIRSCWHBO	M002S00	M006D03	0.0	uM
M002S00-M006D03	NIRSCWHBR	M002S00	M006D03	0.0	uM
M002S00-M008D03	NIRSCWHBO	M002S00	M008D03	0.0	uM
M002S00-M008D03	NIRSCWHBR	M002S00	M008D03	0.0	uM
M002S00-M008D04	NIRSCWHBO	M002S00	M008D04	0.0	uM
M002S00-M008D04	NIRSCWHBR	M002S00	M008D04	0.0	uM
M002S00-M008D05	NIRSCWHBO	M002S00	M008D05	0.0	uM
M002S00-M008D05	NIRSCWHBR	M002S00	M008D05	0.0	uM
M002S01-M000D02	NIRSCWHBO	M002S01	M000D02	0.0	uM
M002S01-M000D02	NIRSCWHBR	M002S01	M000D02	0.0	uM
M002S01-M000D03	NIRSCWHBO	M002S01	M000D03	0.0	uM
M002S01-M000D03	NIRSCWHBR	M002S01	M000D03	0.0	uM
M002S01-M000D04	NIRSCWHBO	M002S01	M000D04	0.0	uM
M002S01-M000D04	NIRSCWHBR	M002S01	M000D04	0.0	uM
M002S01-M000D05	NIRSCWHBO	M002S01	M000D05	0.0	uM
M002S01-M000D05	NIRSCWHBR	M002S01	M000D05	0.0	uM
M002S01-M002D00	NIRSCWHBO	M002S01	M002D00	0.0	uM
M002S01-M002D00	NIRSCWHBR	M002S01	M002D00	0.0	uM
M002S01-M002D01	NIRSCWHBO	M002S01	M002D01	0.0	uM
M002S01-M002D01	NIRSCWHBR	M002S01	M002D01	0.0	uM
M002S01-M002D02	NIRSCWHBO	M002S01	M002D02	0.0	uM
M002S01-M002D02	NIRSCWHBR	M002S01	M002D02	0.0	uM
M002S01-M002D03	NIRSCWHBO	M002S01	M002D03	0.0	uM
M002S01-M002D03	NIRSCWHBR	M002S01	M002D03	0.0	uM
M002S01-M002D04	NIRSCWHBO	M002S01	M002D04	0.0	uM
M002S01-M002D04	NIRSCWHBR	M002S01	M002D04	0.0	uM
M002S01-M002D05	NIRSCWHBO	M002S01	M002D05	0.0	uM
M002S01-M002D05	NIRSCWHBR	M002S01	M002D05	0.0	uM
M002S01-M004D00	NIRSCWHBO	M002S01	M004D00	0.0	uM
M002S01-M004D00	NIRSCWHBR	M002S01	M004D00	0.0	uM
M002S01-M004D01	NIRSCWHBO	M002S01	M004D01	0.0	uM
M002S01-M004D01	NIRSCWHBR	M002S01	M004D01	0.0	uM
M002S01-M006D00	NIRSCWHBO	M002S01	M006D00	0.0	uM
M002S01-M006D00	NIRSCWHBR	M002S01	M006D00	0.0	uM
M002S01-M006D01	NIRSCWHBO	M002S01	M006D01	0.0	uM
M002S01-M006D01	NIRSCWHBR	M002S01	M006D01	0.0	uM
M002S01-M006D02	NIRSCWHBO	M002S01	M006D02	0.0	uM
M002S01-M006D02	NIRSCWHBR	M002S01	M006D02	0.0	uM
M002S02-M000D01	NIRSCWHBO	M002S02	M000D01	0.0	uM
M002S02-M000D01	NIRSCWHBR	M002S02	M000D01	0.0	uM
M002S02-M000D02	NIRSCWHBO	M002S02	M000D02	0.0	uM
M002S02-M000D02	NIRSCWHBR	M002S02	M000D02	0.0	uM
M002S02-M000D03	NIRSCWHBO	M002S02	M000D03	0.0	uM
M002S02-M000D03	NIRSCWHBR	M002S02	M000D03	0.0	uM
M002S02-M000D04	NIRSCWHBO	M002S02	M000D04	0.0	uM
M002S02-M000D04	NIRSCWHBR	M002S02	M000D04	0.0	uM
M002S02-M000D05	NIRSCWHBO	M002S02	M000D05	0.0	uM
M002S02-M000D05	NIRSCWHBR	M002S02	M000D05	0.0	uM
M002S02-M001D02	NIRSCWHBO	M002S02	M001D02	0.0	uM
M002S02-M001D02	NIRSCWHBR	M002S02	M001D02	0.0	uM
M002S02-M001D03	NIRSCWHBO	M002S02	M001D03	0.0	uM
M002S02-M001D03	NIRSCWHBR	M002S02	M001D03	0.0	uM
M002S02-M001D04	NIRSCWHBO	M002S02	M001D04	0.0	uM
M002S02-M001D04	NIRSCWHBR	M002S02	M001D04	0.0	uM
M002S02-M001D05	NIRSCWHBO	M002S02	M001D05	0.0	uM
M002S02-M001D05	NIRSCWHBR	M002S02	M001D05	0.0	uM
M002S02-M002D00	NIRSCWHBO	M002S02	M002D00	0.0	uM
M002S02-M002D00	NIRSCWHBR	M002S02	M002D00	0.0	uM
M002S02-M002D01	NIRSCWHBO	M002S02	M002D01	0.0	uM
M002S02-M002D01	NIRSCWHBR	M002S02	M002D01	0.0	uM
M002S02-M002D02	NIRSCWHBO	M002S02	M002D02	0.0	uM
M002S02-M002D02	NIRSCWHBR	M002S02	M002D02	0.0	uM
M002S02-M002D03	NIRSCWHBO	M002S02	M002D03	0.0	uM
M002S02-M002D03	NIRSCWHBR	M002S02	M002D03	0.0	uM
M002S02-M002D04	NIRSCWHBO	M002S02	M002D04	0.0	uM
M002S02-M002D04	NIRSCWHBR	M002S02	M002D04	0.0	uM
M002S02-M002D05	NIRSCWHBO	M002S02	M002D05	0.0	uM
M002S02-M002D05	NIRSCWHBR	M002S02	M002D05	0.0	uM
M002S02-M004D00	NIRSCWHBO	M002S02	M004D00	0.0	uM
M002S02-M004D00	NIRSCWHBR	M002S02	M004D00	0.0	uM
M002S02-M004D01	NIRSCWHBO	M002S02	M004D01	0.0	uM
M002S02-M004D01	NIRSCWHBR	M002S02	M004D01	0.0	uM
M002S02-M004D02	NIRSCWHBO	M002S02	M004D02	0.0	uM
M002S02-M004D02	NIRSCWHBR	M002S02	M004D02	0.0	uM
M002S02-M004D03	NIRSCWHBO	M002S02	M004D03	0.0	uM
M002S02-M004D03	NIRSCWHBR	M002S02	M004D03	0.0	uM
M002S02-M004D05	NIRSCWHBO	M002S02	M004D05	0.0	uM
M002S02-M004D05	NIRSCWHBR	M002S02	M004D05	0.0	uM
M003S00-M000D00	NIRSCWHBO	M003S00	M000D00	0.0	uM
M003S00-M000D00	NIRSCWHBR	M003S00	M000D00	0.0	uM
M003S00-M000D01	NIRSCWHBO	M003S00	M000D01	0.0	uM
M003S00-M000D01	NIRSCWHBR	M003S00	M000D01	0.0	uM
M003S00-M001D00	NIRSCWHBO	M003S00	M001D00	0.0	uM
M003S00-M001D00	NIRSCWHBR	M003S00	M001D00	0.0	uM
M003S00-M003D00	NIRSCWHBO	M003S00	M003D00	0.0	uM
M003S00-M003D00	NIRSCWHBR	M003S00	M003D00	0.0	uM
M003S00-M003D01	NIRSCWHBO	M003S00	M003D01	0.0	uM
M003S00-M003D01	NIRSCWHBR	M003S00	M003D01	0.0	uM
M003S00-M003D02	NIRSCWHBO	M003S00	M003D02	0.0	uM
M003S00-M003D02	NIRSCWHBR	M003S00	M003D02	0.0	uM
M003S00-M003D03	NIRSCWHBO	M003S00	M003D03	0.0	uM
M003S00-M003D03	NIRSCWHBR	M003S00	M003D03	0.0	uM
M003S00-M003D04	NIRSCWHBO	M003S00	M003D04	0.0	uM
M003S00-M003D04	NIRSCWHBR	M003S00	M003D04	0.0	uM
M003S00-M003D05	NIRSCWHBO	M003S00	M003D05	0.0	uM
M003S00-M003D05	NIRSCWHBR	M003S00	M003D05	0.0	uM
M003S00-M005D00	NIRSCWHBO	M003S00	M005D00	0.0	uM
M003S00-M005D00	NIRSCWHBR	M003S00	M005D00	0.0	uM
M003S00-M005D01	NIRSCWHBO	M003S00	M005D01	0.0	uM
M003S00-M005D01	NIRSCWHBR	M003S00	M005D01	0.0	uM
M003S00-M005D02	NIRSCWHBO	M003S00	M005D02	0.0	uM
M003S00-M005D02	NIRSCWHBR	M003S00	M005D02	0.0	uM
M003S00-M005D03	NIRSCWHBO	M003S00	M005D03	0.0	uM
M003S00-M005D03	NIRSCWHBR	M003S00	M005D03	0.0	uM
M003S00-M005D04	NIRSCWHBO	M003S00	M005D04	0.0	uM
M003S00-M005D04	NIRSCWHBR	M003S00	M005D04	0.0	uM
M003S00-M005D05	NIRSCWHBO	M003S00	M005D05	0.0	uM
M003S00-M005D05	NIRSCWHBR	M003S00	M005D05	0.0	uM
M003S00-M007D02	NIRSCWHBO	M003S00	M007D02	0.0	uM
M003S00-M007D02	NIRSCWHBR	M003S00	M007D02	0.0	uM
M003S00-M007D03	NIRSCWHBO	M003S00	M007D03	0.0	uM
M003S00-M007D03	NIRSCWHBR	M003S00	M007D03	0.0	uM
M003S00-M007D04	NIRSCWHBO	M003S00	M007D04	0.0	uM
M003S00-M007D04	NIRSCWHBR	M003S00	M007D04	0.0	uM
M003S00-M007D05	NIRSCWHBO	M003S00	M007D05	0.0	uM
M003S00-M007D05	NIRSCWHBR	M003S00	M007D05	0.0	uM
M003S00-M009D00	NIRSCWHBO	M003S00	M009D00	0.0	uM
M003S00-M009D00	NIRSCWHBR	M003S00	M009D00	0.0	uM
M003S00-M009D01	NIRSCWHBO	M003S00	M009D01	0.0	uM
M003S00-M009D01	NIRSCWHBR	M003S00	M009D01	0.0	uM
M003S00-M009D02	NIRSCWHBO	M003S00	M009D02	0.0	uM
M003S00-M009D02	NIRSCWHBR	M003S00	M009D02	0.0	uM
M003S01-M000D00	NIRSCWHBO	M003S01	M000D00	0.0	uM
M003S01-M000D00	NIRSCWHBR	M003S01	M000D00	0.0	uM
M003S01-M000D01	NIRSCWHBO	M003S01	M000D01	0.0	uM
M003S01-M000D01	NIRSCWHBR	M003S01	M000D01	0.0	uM
M003S01-M000D02	NIRSCWHBO	M003S01	M000D02	0.0	uM
